Visitantes,Dia,Mes,Ano,Day of the week,COVID,Season,Event,Total Turistas
1127,13,10,2019,Sunday,0,Autumn,0,25032.225806451614
1095,14,10,2019,Monday,0,Autumn,0,25032.225806451614
1054,15,10,2019,Tuesday,0,Autumn,0,25032.225806451614
1085,16,10,2019,Wednesday,0,Autumn,0,25032.225806451614
914,17,10,2019,Thursday,0,Autumn,0,25032.225806451614
1116,18,10,2019,Friday,0,Autumn,0,25032.225806451614
1322,19,10,2019,Saturday,0,Autumn,0,25032.225806451614
1156,20,10,2019,Sunday,0,Autumn,0,25032.225806451614
1469,21,10,2019,Monday,0,Autumn,0,25032.225806451614
1332,22,10,2019,Tuesday,0,Autumn,0,25032.225806451614
1255,23,10,2019,Wednesday,0,Autumn,0,25032.225806451614
905,24,10,2019,Thursday,0,Autumn,0,25032.225806451614
1049,25,10,2019,Friday,0,Autumn,0,25032.225806451614
1605,26,10,2019,Saturday,0,Autumn,0,25032.225806451614
1334,27,10,2019,Sunday,0,Autumn,0,25032.225806451614
1026,28,10,2019,Monday,0,Autumn,0,25032.225806451614
961,29,10,2019,Tuesday,0,Autumn,0,25032.225806451614
843,30,10,2019,Wednesday,0,Autumn,0,25032.225806451614
973,31,10,2019,Thursday,0,Autumn,0,25032.225806451614
1577,1,11,2019,Friday,0,Autumn,0,20643.33333333333
1521,2,11,2019,Saturday,0,Autumn,0,20643.33333333333
929,3,11,2019,Sunday,0,Autumn,0,20643.33333333333
791,4,11,2019,Monday,0,Autumn,0,20643.33333333333
666,5,11,2019,Tuesday,0,Autumn,0,20643.33333333333
672,6,11,2019,Wednesday,0,Autumn,0,20643.33333333333
561,7,11,2019,Thursday,0,Autumn,0,20643.33333333333
756,8,11,2019,Friday,0,Autumn,0,20643.33333333333
1074,9,11,2019,Saturday,0,Autumn,0,20643.33333333333
894,10,11,2019,Sunday,0,Autumn,0,20643.33333333333
651,11,11,2019,Monday,0,Autumn,0,20643.33333333333
655,12,11,2019,Tuesday,0,Autumn,0,20643.33333333333
498,13,11,2019,Wednesday,0,Autumn,0,20643.33333333333
469,14,11,2019,Thursday,0,Autumn,0,20643.33333333333
778,15,11,2019,Friday,0,Autumn,1,20643.33333333333
1186,16,11,2019,Saturday,0,Autumn,1,20643.33333333333
517,17,11,2019,Sunday,0,Autumn,1,20643.33333333333
685,18,11,2019,Monday,0,Autumn,1,20643.33333333333
387,19,11,2019,Tuesday,0,Autumn,1,20643.33333333333
467,20,11,2019,Wednesday,0,Autumn,1,20643.33333333333
573,21,11,2019,Thursday,0,Autumn,1,20643.33333333333
610,22,11,2019,Friday,0,Autumn,1,20643.33333333333
1151,23,11,2019,Saturday,0,Autumn,1,20643.33333333333
568,24,11,2019,Sunday,0,Autumn,1,20643.33333333333
589,25,11,2019,Monday,0,Autumn,1,20643.33333333333
351,26,11,2019,Tuesday,0,Autumn,1,20643.33333333333
563,27,11,2019,Wednesday,0,Autumn,1,20643.33333333333
629,28,11,2019,Thursday,0,Autumn,1,20643.33333333333
1204,1,12,2019,Sunday,0,Autumn,1,17848.1935483871
809,2,12,2019,Monday,0,Autumn,1,17848.1935483871
499,3,12,2019,Tuesday,0,Autumn,1,17848.1935483871
619,4,12,2019,Wednesday,0,Autumn,1,17848.1935483871
