Ano,Mes,Dia,Visitantes,COVID
2021,11,25,345,1
2021,11,26,659,1
2021,11,27,894,1
2021,11,28,623,1
2021,11,29,278,1
2021,11,30,267,1
2021,12,1,481,1
2021,12,2,317,1
2021,12,3,405,1
2021,12,4,832,1
2021,12,5,859,1
2021,12,6,495,1
2021,12,7,379,1
2021,12,8,718,1
2021,12,9,308,1
2021,12,10,342,1
2021,12,11,698,1
2021,12,12,653,1
2021,12,13,313,1
2021,12,14,286,1
2021,12,15,265,1
2021,12,16,289,1
2021,12,17,328,1
2021,12,18,821,1
2021,12,19,697,1
2021,12,20,339,1
2021,12,21,367,1
2021,12,22,417,1
2021,12,23,558,1
2021,12,24,243,1
2021,12,26,251,1
2021,12,27,504,1
2021,12,28,527,1
2021,12,29,528,1
2021,12,30,489,1
2021,12,31,372,1
2022,1,2,409,1
2022,1,3,360,1
2022,1,4,300,1
2022,1,5,186,1
2022,1,6,225,1
2022,1,7,241,1
2022,1,8,277,1
2022,1,9,197,1
2022,1,10,265,1
2022,1,11,250,1
2022,1,12,234,1
2022,1,13,218,1
2022,1,14,269,1
2022,1,15,428,1
2022,1,16,235,1
2022,1,17,179,1
2022,1,18,206,1
2022,1,19,215,1
2022,1,20,195,1
2022,1,21,226,1
2022,1,22,469,1
2022,1,23,350,1
2022,1,24,220,1
2022,1,25,279,1
2022,1,26,203,1
2022,1,27,237,1
2022,1,28,234,1
2022,1,29,485,1
2022,1,30,356,1
2022,1,31,274,1
2022,2,1,245,1
2022,2,2,217,1
2022,2,3,288,1
2022,2,4,278,1
2022,2,5,498,1
2022,2,6,346,1
2022,2,7,315,1
2022,2,8,214,1
2022,2,9,230,1
2022,2,10,330,1
2022,2,11,306,1
2022,2,12,483,1
2022,2,13,319,1
2022,2,14,415,1
2022,2,15,398,1
2022,2,16,337,1
2022,2,17,341,1
2022,2,18,375,1
2022,2,19,627,1
2022,2,20,368,1
2022,2,21,386,1
2022,2,22,375,1
2022,2,23,287,1
2022,2,24,366,1
2022,2,25,303,1
2022,2,26,637,1
2022,2,27,536,1
2022,2,28,528,1
2022,3,1,460,1
2022,3,2,405,1
2022,3,3,316,1
2022,3,4,324,1
2022,3,5,467,1
2022,3,6,325,1
2022,3,7,329,1
2022,3,8,248,1
2022,3,9,261,1
2022,3,10,278,1
2022,3,11,303,1
2022,3,12,320,1
